symptoms,diagnosis
weakness in limbs neck pain dizziness loss of balance,cervical spondylosis
back pain neck pain dizziness loss of balance,cervical spondylosis
vomiting headache weakness of one body side altered sensorium,paralysis (brain hemorrhage)
vomiting headache weakness of one body side altered sensorium,paralysis (brain hemorrhage)
headache weakness of one body side altered sensorium,paralysis (brain hemorrhage)
vomiting weakness of one body side altered sensorium,paralysis (brain hemorrhage)
vomiting headache altered sensorium,paralysis (brain hemorrhage)
vomiting headache weakness of one body side,paralysis (brain hemorrhage)
vomiting headache weakness of one body side altered sensorium,paralysis (brain hemorrhage)
headache weakness of one body side altered sensorium,paralysis (brain hemorrhage)
vomiting weakness of one body side altered sensorium,paralysis (brain hemorrhage)
vomiting headache altered sensorium,paralysis (brain hemorrhage)
itching vomiting fatigue weight loss high fever yellowish skin dark urine abdominal pain,jaundice
itching vomiting fatigue weight loss high fever yellowish skin dark urine abdominal pain,jaundice
vomiting fatigue weight loss high fever yellowish skin dark urine abdominal pain,jaundice
itching fatigue weight loss high fever yellowish skin dark urine abdominal pain,jaundice
itching vomiting weight loss high fever yellowish skin dark urine abdominal pain,jaundice
itching vomiting fatigue high fever yellowish skin dark urine abdominal pain,jaundice
itching vomiting fatigue weight loss yellowish skin dark urine abdominal pain,jaundice
itching vomiting fatigue weight loss high fever dark urine abdominal pain,jaundice
itching vomiting fatigue weight loss high fever yellowish skin abdominal pain,jaundice
itching vomiting fatigue weight loss high fever yellowish skin dark urine,jaundice
chills vomiting high fever sweating headache nausea muscle pain,malaria
chills vomiting high fever sweating headache nausea diarrhoea muscle pain,malaria
chills vomiting high fever sweating headache nausea diarrhoea muscle pain,malaria
vomiting high fever sweating headache nausea diarrhoea muscle pain,malaria
chills high fever sweating headache nausea diarrhoea muscle pain,malaria
chills vomiting sweating headache nausea diarrhoea muscle pain,malaria
chills vomiting high fever headache nausea diarrhoea muscle pain,malaria
chills vomiting high fever sweating nausea diarrhoea muscle pain,malaria
chills vomiting high fever sweating headache diarrhoea muscle pain,malaria
chills vomiting high fever sweating headache nausea muscle pain,malaria
itching skin rash fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,chicken pox
skin rash fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,chicken pox
itching fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,chicken pox
itching skin rash lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,chicken pox
itching skin rash fatigue high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,chicken pox
itching skin rash fatigue lethargy headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,chicken pox
itching skin rash fatigue lethargy high fever loss of appetite mild fever swelled lymph nodes malaise red spots over body,chicken pox
itching skin rash fatigue lethargy high fever headache mild fever swelled lymph nodes malaise red spots over body,chicken pox
itching skin rash fatigue lethargy high fever headache loss of appetite swelled lymph nodes malaise red spots over body,chicken pox
itching skin rash fatigue lethargy high fever headache loss of appetite mild fever malaise red spots over body,chicken pox
skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain muscle pain red spots over body,dengue
skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise red spots over body,dengue
skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain,dengue
skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,dengue
chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,dengue
skin rash joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,dengue
skin rash chills vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,dengue
skin rash chills joint pain fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,dengue
skin rash chills joint pain vomiting high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,dengue
skin rash chills joint pain vomiting fatigue headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,dengue
chills vomiting fatigue high fever nausea constipation abdominal pain diarrhoea toxic look (typhos) belly pain,typhoid
chills vomiting fatigue high fever headache constipation abdominal pain diarrhoea toxic look (typhos) belly pain,typhoid
chills vomiting fatigue high fever headache nausea abdominal pain diarrhoea toxic look (typhos) belly pain,typhoid
chills vomiting fatigue high fever headache nausea constipation diarrhoea toxic look (typhos) belly pain,typhoid
chills vomiting fatigue high fever headache nausea constipation abdominal pain toxic look (typhos) belly pain,typhoid
chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea belly pain,typhoid
chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look (typhos),typhoid
chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look (typhos) belly pain,typhoid
chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look (typhos) belly pain,typhoid
chills fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look (typhos) belly pain,typhoid
joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,hepatitis a
joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,hepatitis a
vomiting yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,hepatitis a
joint pain yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,hepatitis a
joint pain vomiting dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,hepatitis a
joint pain vomiting yellowish skin nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,hepatitis a
joint pain vomiting yellowish skin dark urine loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,hepatitis a
joint pain vomiting yellowish skin dark urine nausea abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,hepatitis a
joint pain vomiting yellowish skin dark urine nausea loss of appetite diarrhoea mild fever yellowing of eyes muscle pain,hepatitis a
joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain mild fever yellowing of eyes muscle pain,hepatitis a
itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,hepatitis b
itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,hepatitis b
fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,hepatitis b
itching lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,hepatitis b
itching fatigue yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,hepatitis b
itching fatigue lethargy dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,hepatitis b
itching fatigue lethargy yellowish skin loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,hepatitis b
itching fatigue lethargy yellowish skin dark urine abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,hepatitis b
itching fatigue lethargy yellowish skin dark urine loss of appetite yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,hepatitis b
itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,hepatitis b
fatigue yellowish skin nausea loss of appetite family history,hepatitis c
fatigue yellowish skin nausea loss of appetite yellowing of eyes family history,hepatitis c
yellowish skin nausea loss of appetite yellowing of eyes family history,hepatitis c
fatigue nausea loss of appetite yellowing of eyes family history,hepatitis c
fatigue yellowish skin loss of appetite yellowing of eyes family history,hepatitis c
fatigue yellowish skin nausea yellowing of eyes family history,hepatitis c
fatigue yellowish skin nausea loss of appetite family history,hepatitis c
fatigue yellowish skin nausea loss of appetite yellowing of eyes,hepatitis c
fatigue yellowish skin nausea loss of appetite yellowing of eyes family history,hepatitis c
fatigue yellowish skin nausea loss of appetite yellowing of eyes family history,hepatitis c
joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes,hepatitis d
vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes,hepatitis d
joint pain fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes,hepatitis d
joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes,hepatitis d
joint pain vomiting fatigue dark urine nausea loss of appetite abdominal pain yellowing of eyes,hepatitis d
joint pain vomiting fatigue yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,hepatitis d
joint pain vomiting fatigue yellowish skin dark urine loss of appetite abdominal pain yellowing of eyes,hepatitis d
joint pain vomiting fatigue yellowish skin dark urine nausea abdominal pain yellowing of eyes,hepatitis d
joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite yellowing of eyes,hepatitis d
joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain,hepatitis d
joint pain vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes coma stomach bleeding,hepatitis e
joint pain vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,hepatitis e
joint pain vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,hepatitis e
vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,hepatitis e
joint pain fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,hepatitis e
joint pain vomiting high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,hepatitis e
joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,hepatitis e
joint pain vomiting fatigue high fever dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,hepatitis e
joint pain vomiting fatigue high fever yellowish skin nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,hepatitis e
joint pain vomiting fatigue high fever yellowish skin dark urine loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,hepatitis e
vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload.1,alcoholic hepatitis
vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload.1,alcoholic hepatitis
yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload.1,alcoholic hepatitis
vomiting abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload.1,alcoholic hepatitis
vomiting yellowish skin swelling of stomach distention of abdomen history of alcohol consumption fluid overload.1,alcoholic hepatitis
vomiting yellowish skin abdominal pain distention of abdomen history of alcohol consumption fluid overload.1,alcoholic hepatitis
vomiting yellowish skin abdominal pain swelling of stomach history of alcohol consumption fluid overload.1,alcoholic hepatitis
vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen fluid overload.1,alcoholic hepatitis
vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption,alcoholic hepatitis
vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload.1,alcoholic hepatitis
chills vomiting fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,tuberculosis
chills vomiting fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,tuberculosis
vomiting fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,tuberculosis
chills fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,tuberculosis
chills vomiting weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,tuberculosis
chills vomiting fatigue cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,tuberculosis
chills vomiting fatigue weight loss high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,tuberculosis
chills vomiting fatigue weight loss cough breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,tuberculosis
chills vomiting fatigue weight loss cough high fever sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,tuberculosis
chills vomiting fatigue weight loss cough high fever breathlessness loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,tuberculosis
continuous sneezing chills fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,common cold
continuous sneezing chills fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,common cold
chills fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,common cold
continuous sneezing fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,common cold
continuous sneezing chills cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,common cold
continuous sneezing chills fatigue high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,common cold
continuous sneezing chills fatigue cough headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,common cold
continuous sneezing chills fatigue cough high fever swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,common cold
continuous sneezing chills fatigue cough high fever headache malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,common cold
continuous sneezing chills fatigue cough high fever headache swelled lymph nodes phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,common cold
chills fatigue cough high fever breathlessness sweating malaise chest pain fast heart rate rusty sputum,pneumonia
chills fatigue cough high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,pneumonia
chills fatigue cough high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,pneumonia
fatigue cough high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,pneumonia
chills cough high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,pneumonia
chills fatigue high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,pneumonia
chills fatigue cough breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,pneumonia
chills fatigue cough high fever sweating malaise phlegm chest pain fast heart rate rusty sputum,pneumonia
chills fatigue cough high fever breathlessness malaise phlegm chest pain fast heart rate rusty sputum,pneumonia
chills fatigue cough high fever breathlessness sweating phlegm chest pain fast heart rate rusty sputum,pneumonia
constipation pain during bowel movements pain in anal region bloody stool irritation in anus,dimorphic hemmorhoids(piles)
constipation pain during bowel movements pain in anal region bloody stool irritation in anus,dimorphic hemmorhoids(piles)
constipation pain during bowel movements pain in anal region bloody stool irritation in anus,dimorphic hemmorhoids(piles)
pain during bowel movements pain in anal region bloody stool irritation in anus,dimorphic hemmorhoids(piles)
constipation pain in anal region bloody stool irritation in anus,dimorphic hemmorhoids(piles)
constipation pain during bowel movements bloody stool irritation in anus,dimorphic hemmorhoids(piles)
constipation pain during bowel movements pain in anal region irritation in anus,dimorphic hemmorhoids(piles)
constipation pain during bowel movements pain in anal region bloody stool,dimorphic hemmorhoids(piles)
constipation pain during bowel movements pain in anal region bloody stool irritation in anus,dimorphic hemmorhoids(piles)
constipation pain during bowel movements pain in anal region bloody stool irritation in anus,dimorphic hemmorhoids(piles)
vomiting breathlessness sweating chest pain,heart attack
vomiting breathlessness sweating chest pain,heart attack
breathlessness sweating chest pain,heart attack
vomiting sweating chest pain,heart attack
vomiting breathlessness chest pain,heart attack
vomiting breathlessness sweating,heart attack
vomiting breathlessness sweating chest pain,heart attack
breathlessness sweating chest pain,heart attack
vomiting sweating chest pain,heart attack
vomiting breathlessness chest pain,heart attack
fatigue cramps bruising obesity swollen legs swollen blood vessels prominent veins on calf,varicose veins
fatigue cramps bruising obesity swollen legs swollen blood vessels prominent veins on calf,varicose veins
cramps bruising obesity swollen legs swollen blood vessels prominent veins on calf,varicose veins
fatigue bruising obesity swollen legs swollen blood vessels prominent veins on calf,varicose veins
fatigue cramps obesity swollen legs swollen blood vessels prominent veins on calf,varicose veins
fatigue cramps bruising swollen legs swollen blood vessels prominent veins on calf,varicose veins
fatigue cramps bruising obesity swollen blood vessels prominent veins on calf,varicose veins
fatigue cramps bruising obesity swollen legs prominent veins on calf,varicose veins
fatigue cramps bruising obesity swollen legs swollen blood vessels,varicose veins
fatigue cramps bruising obesity swollen legs prominent veins on calf,varicose veins
fatigue weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,hypothyroidism
fatigue weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,hypothyroidism
weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,hypothyroidism
weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,hypothyroidism
fatigue cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,hypothyroidism
fatigue weight gain mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,hypothyroidism
fatigue weight gain cold hands and feets lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,hypothyroidism
fatigue weight gain cold hands and feets mood swings dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,hypothyroidism
fatigue weight gain cold hands and feets mood swings lethargy puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,hypothyroidism
fatigue weight gain cold hands and feets mood swings lethargy dizziness enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,hypothyroidism
fatigue mood swings weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,hyperthyroidism
fatigue mood swings weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,hyperthyroidism
mood swings weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,hyperthyroidism
fatigue weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,hyperthyroidism
fatigue mood swings restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,hyperthyroidism
fatigue mood swings weight loss sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,hyperthyroidism
